"Incident_Id","Incident Date","city-county","killed","injured"
2225906,"2022-01-30","Wills Point",1,1
2225919,"2022-02-02","Orange",1,0
2226145,"2022-02-03","Flint",0,2
2226153,"2022-02-03","Fort Worth",0,1
2226186,"2022-02-03","Laredo",0,1
2226204,"2022-02-03","San Antonio",1,0
2226222,"2022-02-03","San Antonio",1,1
2226545,"2022-02-03","Houston",1,0
2226736,"2022-02-03","Kingsville",1,0
2226801,"2022-02-04","Houston",0,1
2226831,"2022-02-01","San Antonio",1,0
2226851,"2022-02-04","San Antonio",1,0
2226957,"2022-02-03","Willis",1,0
2226964,"2022-02-04","Del Valle",1,1
2227058,"2022-02-05","Corsicana",8,0
2227131,"2022-02-05","Houston",3,0
2227195,"2022-02-03","Boling",0,1
2227254,"2022-02-05","Arlington",1,1
2227282,"2022-02-05","Houston",1,0
2227594,"2022-02-05","San Antonio",0,1
2227601,"2022-02-05","Elmendorf",0,1
2227615,"2022-02-05","Port Arthur",1,0
2227626,"2022-02-04","Wichita Falls",0,1
2227637,"2022-02-05","Houston",1,0
2227642,"2022-02-05","Houston",0,1
2227836,"2022-02-06","New Braunfels",0,1
2227857,"2022-02-06","Dallas",1,0
2228109,"2022-02-06","Houston",1,0
2228135,"2022-02-05","Houston",0,1
2228235,"2022-02-06","Lubbock",0,1
2228258,"2022-02-06","San Antonio",0,1
2228267,"2022-02-05","San Antonio",0,1
2228277,"2022-02-06","San Angelo",0,1
2228282,"2022-02-06","Houston",0,1
2228601,"2022-02-07","Houston",1,0
2228603,"2022-02-07","Houston",0,1
2228605,"2022-02-07","Houston",0,1
2228608,"2022-02-06","Houston",1,0
2228627,"2022-02-05","Jasper",0,1
2228635,"2022-02-06","Killeen",0,2
2228644,"2022-02-03","Dallas",1,0
2228649,"2022-02-07","Dallas",1,0
2228665,"2022-02-06","Houston",0,1
2228786,"2022-02-07","San Antonio",1,0
2228791,"2022-02-07","Houston",0,1
2228803,"2022-02-07","Brackettville",1,0
2228851,"2022-02-06","Elgin",1,0
2229142,"2022-02-08","Houston",1,2
2229434,"2022-02-07","Waco",0,1
2229469,"2022-02-08","El Paso",0,2
2229482,"2022-02-07","Greenville",1,0
2229500,"2022-02-07","Corsicana",1,0
2229576,"2022-02-08","Dallas",1,0
2229578,"2022-02-07","Fort Worth",0,1
2229597,"2022-02-07","Houston",1,0
2229600,"2022-02-07","Lubbock",0,1
2229604,"2022-02-08","San Antonio",0,1
2229612,"2022-02-08","San Antonio",0,1
2229617,"2022-02-07","San Antonio",0,2
2229879,"2022-02-07","Gainesville",0,1
2230026,"2022-02-08","Houston",0,1
2230063,"2022-02-08","Temple",0,1
2230067,"2022-02-09","Fort Worth",2,0
2230279,"2022-02-08","Corpus Christi",1,0
2230316,"2022-01-10","Garland",0,2
2230330,"2022-02-05","Waxahachie",0,1
2230367,"2022-02-08","Garland",1,0
2230403,"2022-02-08","Raymondville",0,0
2230430,"2022-02-08","Houston",0,1
2230468,"2022-02-08","Houston",0,1
2230548,"2022-02-09","Houston",0,1
2230565,"2022-02-09","Sugar Land",1,0
2230649,"2022-02-09","San Antonio",0,2
2230713,"2022-02-08","Houston",0,1
2230715,"2022-02-08","Houston",0,1
2230718,"2022-02-08","Houston",0,1
2230720,"2022-02-09","Houston",1,0
2230938,"2022-01-26","Dayton",2,0
2231543,"2022-02-10","Port Arthur",0,2
2231547,"2022-02-10","Euless",1,0
2231563,"2022-02-10","Irving",1,0
2231581,"2022-02-10","Denison",0,2
2231588,"2022-02-10","Dallas",1,0
2231631,"2022-02-10","Amarillo",0,1
2231670,"2022-02-08","Mabank",1,0
2231810,"2022-02-11","Houston",1,0
2231819,"2022-02-10","Stafford",1,1
2232303,"2022-02-12","Houston",0,1
2232307,"2022-02-12","Houston",1,0
2232311,"2022-02-12","Houston",1,0
2232313,"2022-02-11","Houston",1,0
2232315,"2022-02-11","Houston",0,1
2232317,"2022-02-11","Houston",0,1
2232320,"2022-02-11","Houston",0,2
2232323,"2022-02-11","Houston",1,0
2232325,"2022-02-11","Houston",0,1
2232327,"2022-02-11","Houston",0,1
2232330,"2022-02-11","Houston",0,1
2232332,"2022-02-10","Houston",0,1
2232337,"2022-02-12","Humble",1,1
2232342,"2022-02-11","Orange",1,0
2232347,"2022-02-11","Fresno",0,1
2232349,"2022-02-12","Wichita Falls",1,0
2232368,"2022-02-12","Mesquite",0,1
2232374,"2022-02-06","Lubbock",0,1
2232380,"2022-02-12","Tuscola",1,0
2232388,"2022-02-11","Corpus Christi",0,1
2232394,"2022-02-11","Dallas",0,2
2232405,"2022-02-10","Manor",1,0
2232419,"2022-02-12","Fort Worth",2,0
2232424,"2022-02-11","Fort Worth",0,1
2232818,"2022-02-03","Waco",0,0
2232957,"2022-02-13","Laredo",3,0
2233257,"2022-02-12","San Antonio",0,2
2233272,"2022-02-13","Houston (Jersey Village)",1,0
2233337,"2022-02-11","Dallas",1,0
2233345,"2022-02-13","Dallas",1,0
2233359,"2022-02-13","Nederland",0,1
2233362,"2022-02-12","Marshall",1,0
2233372,"2022-02-12","El Paso (Socorro)",1,0
2233427,"2022-02-13","Dilley",0,1
2233432,"2022-02-13","San Antonio",1,0
2233644,"2022-02-14","Lubbock",0,2
2233682,"2022-02-14","San Antonio",0,1
2233741,"2022-02-13","Dallas",1,0
2233844,"2022-02-11","San Antonio",1,0
2233848,"2022-02-14","San Antonio",0,1
2234293,"2022-02-14","Houston",1,0
2234304,"2022-02-15","Lubbock",0,1
2234355,"2022-01-29","Austin",1,0
2234392,"2022-02-15","Edinburg",2,0
2234401,"2022-02-15","Corpus Christi",0,1
2234412,"2022-02-15","Corpus Christi",1,0
2234434,"2022-02-15","Fort Worth",0,0
2234510,"2022-02-14","Fort Worth",0,1
2234512,"2022-02-15","Keller",1,0
2234518,"2022-02-14","Houston",1,0
2234530,"2022-02-14","Houston",0,1
2234685,"2022-02-15","San Antonio",1,0
2234705,"2022-02-13","Pearsall",2,0
2234836,"2022-02-15","Katy",1,2
2234848,"2022-02-15","Amarillo",1,1
2234860,"2022-02-15","San Antonio",1,0
2234954,"2022-02-16","Houston",1,0
2234994,"2022-02-15","Dallas",1,1
2235007,"2022-02-15","Tyler",3,0
2235050,"2022-02-16","Silsbee",0,0
2235148,"2022-02-16","Coppell",2,0
2235404,"2022-02-15","Houston",1,0
2235413,"2022-02-15","Houston",0,1
2235424,"2022-01-25","Houston",1,0
2235507,"2022-02-16","Houston",0,1
2235512,"2022-02-16","Copperas Cove",0,1
2235775,"2022-02-16","Houston",0,2
2235778,"2022-02-17","Houston",0,5
2235787,"2022-02-16","Haltom City",0,1
2235789,"2022-02-17","La Marque",0,2
2235794,"2022-02-17","Austin",0,2
2235803,"2022-02-16","Dallas",1,0
2235969,"2022-02-16","Dallas",1,0
2236030,"2022-02-16","Mc Gregor (Mcgregor)",0,0
2236098,"2022-02-13","Abbott",0,1
2236160,"2022-02-17","Midland",2,0
2236208,"2022-02-17","Odessa",1,0
2236243,"2022-02-16","San Antonio",0,2
2236322,"2022-02-12","Texas City",0,1
2236760,"2022-02-07","Sweetwater",0,1
2236826,"2022-02-17","Fort Worth",0,1
2236839,"2022-01-25","Houston",0,1
2236845,"2022-02-18","Houston",0,1
2237036,"2022-02-18","Houston",0,2
2237075,"2022-02-17","Houston",2,0
2237083,"2022-02-18","Houston",1,1
2237094,"2022-02-18","Houston",0,1
2237109,"2022-02-18","Port Arthur",1,0
2237141,"2022-02-19","Corpus Christi",1,0
2237165,"2022-02-17","Duncanville",1,0
2237170,"2022-02-18","Fort Worth",0,1
2237175,"2022-02-18","Fort Worth",1,0
2237184,"2022-02-19","Houston",1,0
2237220,"2022-02-19","San Antonio",0,1
2237226,"2022-02-18","San Antonio",1,0
2237274,"2022-02-18","Houston",0,1
2237955,"2022-02-20","San Antonio",1,1
2237962,"2022-02-20","El Paso",0,1
2237971,"2022-02-19","Robstown",1,0
2238007,"2022-02-19","Houston",1,0
2238262,"2022-02-20","San Antonio",2,0
2238292,"2022-02-19","San Antonio",0,1
2238323,"2022-02-19","San Antonio",0,1
2238517,"2022-02-21","Dallas",0,1
2238531,"2022-02-20","Fort Worth",0,1
2238621,"2022-02-21","San Antonio",1,0
2238669,"2022-02-20","San Antonio",0,1
2238756,"2022-02-20","Waco",1,0
2238781,"2022-02-21","Graham",0,1
2238788,"2022-02-21","San Antonio",2,0
2238905,"2022-02-19","El Paso",0,1
2238925,"2022-02-18","El Paso",0,1
2238964,"2022-02-20","Houston",1,0
2238977,"2022-02-21","Houston",1,0
2238984,"2022-02-21","Houston",2,0
2239005,"2022-02-21","San Antonio",2,1
2239034,"2022-02-18","Abilene",0,1
2239038,"2022-02-19","Victoria",1,0
2239403,"2022-02-21","Austin",0,1
2239470,"2022-02-21","Dallas",1,0
2239484,"2022-02-21","Dallas",0,1
2239619,"2022-02-21","Houston",1,0
2239629,"2022-02-21","Houston",1,0
2239822,"2022-02-22","Houston",1,1
2240008,"2022-02-21","Boerne",1,0
2240125,"2022-02-21","Houston",0,1
2240136,"2022-02-22","Houston",0,1
2240647,"2022-02-23","Amarillo",1,0
2240655,"2022-02-23","Austin",1,0
2240730,"2022-02-23","Houston",2,0
2240765,"2022-02-22","Fort Worth",1,1
2240775,"2022-02-23","Fort Worth",0,1
2240790,"2022-02-23","Houston",1,0
2240821,"2022-02-23","San Antonio",1,0
2240829,"2022-02-23","San Antonio",0,1
2240834,"2022-02-22","San Antonio",0,1
2240838,"2022-02-22","San Antonio",1,0
2241212,"2022-02-23","Houston",0,1
2241216,"2022-02-23","Houston",1,0
2241219,"2022-02-23","Houston",1,0
2241227,"2022-02-09","Jasper",1,0
2241234,"2022-02-24","Austin",1,0
2241244,"2022-02-23","Dallas",1,0
2241248,"2022-02-23","Houston",1,0
2241284,"2022-02-24","San Antonio",0,1
2241299,"2022-02-24","San Antonio",0,4
2241752,"2022-02-24","Granbury",4,0
2241763,"2022-02-25","Wichita Falls",0,1
2241791,"2022-02-25","Flint",2,0
2241794,"2022-02-25","Fort Worth",0,2
2241800,"2022-02-25","Houston",1,0
2241804,"2022-02-24","Huntsville",0,1
2242116,"2022-02-25","Houston",0,1
2242118,"2022-02-25","Houston",1,0
2242126,"2022-02-25","Houston",1,0
2242128,"2022-02-25","Houston",0,1
